Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.333335917,7.318747051,7.242705515,7.160693977,7.063795896,7.055997967,7.09054103,7.060096518,7.015271574,6.939536426,6.850375724,6.803536617,6.741240926,6.535173175,6.373502565,6.347598161,6.283420894,6.23256053,6.295587011,6.93364463,6.715358057,6.599355673,6.512784103,6.555645284,6.707141602,6.855589424,6.940365035,6.913046436,7.121663747,7.631303418,7.920218731
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.12100029,8.168000221,8.123000145,8.111000061,8.260000229,8.164999962,8.088999748,8.081999779,8.069999695,8.053999901,8.039999962,8.18599987,8.121999741,8.05300045,8.112999916,8.053999901,8.107999802,8.022000313,8.081999779,8.06799984,7.947000027,8.019000053,7.948999882,7.909999847,8.98900032,10.08600044,11.18000031,11.10999966,11.08500004,11.71000004,
Africa Western and Central,AFW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.224595087,4.335460371,4.372125087,4.366897656,4.348996317,4.379536876,4.421116732,4.454917369,4.637772806,4.666422637,4.581780566,4.448732994,4.405969047,4.352562042,4.321496237,4.20305838,4.14827042,4.16744298,4.215072682,4.235777457,4.188827673,4.167556146,3.804447502,3.985877983,4.241135976,4.112957918,4.140483804,4.201598559,4.261414006,4.914143362,4.873635101
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.488999844,4.486999989,4.531000137,4.394999981,4.303999901,4.274000168,4.262000084,4.234000206,4.205999851,4.163000107,4.118999958,4.043000221,4.043000221,3.971999884,3.914999962,3.881999969,3.826999903,3.790999889,3.779999971,9.430000305,7.360000134,8.06400013,8.833999634,9.579999924,9.583999634,9.586000443,9.534999847,9.522000313,9.480999947,10.35000038,10.38399982
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.30700016,30.01499939,25.25799942,20.84000015,14.61100006,13.93099976,16.87599945,20.04700089,20.84000015,19.02799988,18.57500076,17.89500046,16.98900032,16.30999947,15.97000027,15.63000011,15.97000027,13.06000042,13.67000008,14.09000015,13.47999954,13.38000011,15.86999989,18.04999924,17.19000053,15.42000008,13.61999989,12.30000019,11.47000027,13.06700039,12.68299961
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.66344317,11.9504474,12.66187236,12.7383799,13.21699949,12.26632249,11.83878532,11.84801849,11.97729963,12.44784571,12.32400008,12.33008487,12.254294,11.27934116,11.12125816,10.4111855,10.00305131,9.698518737,9.31289675,9.386506842,10.47496764,10.67354504,10.73433927,10.85621373,10.96821914,10.76335863,10.91992055,10.58333988,10.16515827,11.34837049,11.02369344
United Arab Emirates,ARE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.886999965,1.85800004,1.861999989,1.809999943,1.799999952,1.902999997,1.98300004,2.147000074,2.22300005,2.25,2.500999928,2.654000044,2.750999928,2.904000044,3.119999886,2.926000118,2.859999895,2.720999956,2.667999983,2.463999987,2.28399992,2.171000004,2.032000065,1.90199995,1.763000011,1.639999986,2.460000038,2.24000001,2.329999924,4.289999962,3.109999895
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.440000057,6.360000134,10.10000038,11.76000023,18.79999924,17.11000061,14.81999969,12.64999962,14.05000019,15,17.31999969,19.59000015,15.35999966,13.52000046,11.51000023,10.07999992,8.470000267,7.840000153,8.649999619,7.710000038,7.179999828,7.21999979,7.099999905,7.269999981,7.524000168,8.109000206,8.350000381,9.220000267,9.840000153,11.46000004,8.739999771
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.600000024,1.799999952,5.300000191,6.599999905,6.699999809,9.300000191,10.80000019,9.399999619,11.19999981,11.05500031,10.93299961,10.81000042,10.625,10.34700012,10.21800041,10.0010004,9.81000042,9.996999741,9.894000053,10.54199982,10.91699982,11.29800034,11.53100014,11.86200047,12.17700005,12.42599964,12.94400024,13.21000004,12.19999981,12.18000031,12.72900009
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
